Date,spy
2016-09-29,188.74888610839844
2016-09-30,190.17323303222656
2016-10-03,189.71604919433594
2016-10-04,188.74888610839844
2016-10-05,189.5841827392578
2016-10-06,189.71604919433594
2016-10-07,189.0654296875
2016-10-10,190.0501251220703
2016-10-11,187.6498565673828
2016-10-12,187.8961181640625
2016-10-13,187.28060913085938
2016-10-14,187.3773651123047
2016-10-17,186.72674560546875
2016-10-18,187.8961181640625
2016-10-19,188.39723205566406
2016-10-20,188.0455780029297
2016-10-21,188.1334991455078
2016-10-24,188.93353271484375
2016-10-25,188.30047607421875
2016-10-26,187.92251586914062
2016-10-27,187.42132568359375
2016-10-28,186.86737060546875
2016-10-31,186.87620544433594
2016-11-01,185.52224731445312
2016-11-02,184.40565490722656
2016-11-03,183.56163024902344
